OCCUPANT  ID,BUSINESS NAME,ADDRESS NUMBER,STREET PREFIX,STREET NAME,STREET TYPE,FULL ADDRESS,APARTMENT/SUITE,CITY,STATE,ZIP CODE,INSPECTION DATE,INSPECTION TYPE CODE,INSPECTION TYPE DESCRIPTION,INSPECTION VIOLATION CODE,INSPECTION VIOLATION DESCRIPTION,GEOLOCATION
30060,Southern University and A&M College,0,,SWAN,AV,0 SWAN AV,North End Zone,Baton Rouge,LA,70807,8/6/2009,FDC,Fire Department Connection,MISC,Miscellaneous Provisions,
23023,The Famous Theatre Inc.,100,,FRANCE,ST,100 FRANCE ST,1200,Baton Rouge,LA,70808,3/29/2011,OCC,Occupancy,10:6.3.1,Maintenance,POINT (-91.189808 30.442741)
23023,The Famous Theatre Inc.,100,,FRANCE,ST,100 FRANCE ST,1200,Baton Rouge,LA,70808,3/29/2011,OCC,Occupancy,7.1.10.1*,General.,POINT (-91.189808 30.442741)
24781,Shaw Center for the Arts,100,,LAFAYETTE,ST,100 LAFAYETTE ST,,Baton Rouge,LA,70801,8/2/2010,SPRIN,Sprinkler System Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.18939 30.448081)
24604,Shucks on the Levee,100,,FRANCE,ST,100 FRANCE ST,,Baton Rouge,LA,70802,9/22/2010,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
24781,Shaw Center for the Arts,100,,LAFAYETTE,ST,100 LAFAYETTE ST,,Baton Rouge,LA,70801,8/27/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.18939 30.448081)
24781,Shaw Center for the Arts,100,,LAFAYETTE,ST,100 LAFAYETTE ST,,Baton Rouge,LA,70801,2/18/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.18939 30.448081)
24604,Shucks on the Levee,100,,FRANCE,ST,100 FRANCE ST,,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
24604,Shucks on the Levee,100,,FRANCE,ST,100 FRANCE ST,,Baton Rouge,LA,70802,5/13/2019,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
24781,Shaw Center for the Arts,100,,LAFAYETTE,ST,100 LAFAYETTE ST,,Baton Rouge,LA,70801,7/9/2018,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.18939 30.448080999999995)
24604,Shucks on the Levee,100,,FRANCE,ST,100 FRANCE ST,,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
24781,Shaw Center for the Arts,100,,LAFAYETTE,ST,100 LAFAYETTE ST,,Baton Rouge,LA,70801,11/1/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.18939 30.448080999999995)
24604,Shucks on the Levee,100,,FRANCE,ST,100 FRANCE ST,,Baton Rouge,LA,70802,7/17/2017,REG,Annual Inspection,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
23023,The Famous Theatre Inc.,100,,FRANCE,ST,100 FRANCE ST,1200,Baton Rouge,LA,70808,3/29/2011,OCC,Occupancy,LRS 40:1646,Annual Inspection of Life Safety Equipment,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,7/27/2020,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,5/13/2019,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,5/13/2019,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,2/2/2018,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,8/15/2013,OCC,Occupancy,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24631,Churchill's in the Atrium (Downstairs),100,,FRANCE,ST,100 FRANCE ST,1310,Baton Rouge,LA,70802,8/15/2013,OCC,Occupancy,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24631,Churchill's in the Atrium (Downstairs),100,,FRANCE,ST,100 FRANCE ST,1310,Baton Rouge,LA,70802,8/15/2013,OCC,Occupancy,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
24632,Churchill's in the Atrium (Upstairs),100,,FRANCE,ST,100 FRANCE ST,2310,Baton Rouge,LA,70802,8/15/2013,OCC,Occupancy,MISC,Miscellaneous Provisions,POINT (-91.189808 30.442741)
1690,RIVER HOUSE APARTMENTS,101,,RIVER HOUSE,PL,101 RIVER HOUSE PL,BLDG 1,Baton Rouge,LA,70802,8/27/2019,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.188337 30.434201)
1690,RIVER HOUSE APARTMENTS,101,,RIVER HOUSE,PL,101 RIVER HOUSE PL,BLDG 1,Baton Rouge,LA,70802,10/20/2020,REG,Annual Inspection,MISC,Miscellaneous Provisions,POINT (-91.188337 30.434201)
